"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"JASMINE4",98,99,94,77,43,100,96,99,93,52,100,99,95,92,71,100,100,98,90,64,100,100,100,89,70,100,100,100,92,78,100,100,100,99,89,100,100,100,100,94,100,100,100,100,94,100,100,100,100,95
"AUCell4",100,100,97,90,56,100,97,97,94,71,100,99,95,93,77,100,100,97,92,69,100,100,100,91,79,100,100,100,87,85,100,100,100,98,89,100,100,100,96,89,100,100,100,100,84,100,100,100,99,93
"UCell4",79,75,68,62,38,94,86,73,56,47,99,89,75,61,62,100,90,74,63,54,100,93,76,61,66,100,99,78,50,66,100,100,91,51,87,100,100,92,53,92,100,100,95,30,95,100,100,100,27,100
"scPS4",3,6,10,19,30,4,5,9,18,35,2,10,19,33,53,2,7,17,36,51,3,5,19,39,59,0,3,29,61,75,0,4,22,72,94,0,4,32,83,98,0,7,38,80,100,0,3,38,84,100
"SCSE4",100,99,97,81,42,100,100,100,91,52,100,100,96,88,68,100,100,100,88,61,100,100,100,90,64,100,100,100,94,75,100,100,100,99,84,100,100,100,99,87,100,100,100,100,92,100,100,100,100,92
"AddModuleScore4",100,100,97,94,43,100,100,99,92,55,100,100,95,91,57,100,100,96,89,50,100,100,99,90,62,100,100,95,78,67,100,100,93,78,80,100,100,87,79,87,100,100,92,75,90,100,100,93,75,86
"ssGSEA5",32,48,70,92,96,64,65,72,88,88,80,86,81,87,88,86,79,80,81,85,96,86,79,86,87,100,82,75,69,80,100,88,72,77,77,100,93,77,77,82,100,99,73,69,74,100,99,82,75,85
"JASMINE5",100,100,95,88,29,100,100,97,95,68,100,100,96,92,68,100,100,98,88,77,100,100,99,96,78,100,100,100,92,78,100,100,100,97,89,100,100,100,99,90,100,100,100,100,95,100,100,100,100,93
"AUCell5",100,100,99,91,49,100,100,97,99,75,100,100,97,95,75,100,100,96,89,80,100,100,99,94,87,100,100,100,93,89,100,100,100,95,89,100,100,100,98,92,100,100,100,99,79,100,100,100,100,88
"UCell5",90,78,69,66,26,96,89,82,58,60,99,95,85,71,62,100,95,78,75,66,100,95,82,72,57,100,99,93,55,68,100,100,91,58,81,100,100,98,57,88,100,100,99,36,97,100,100,100,44,96
