"","GS-10-0-","GS-10-0.2-","GS-10-0.5-","GS-10-0.8-","GS-10-1-","GS-20-0-","GS-20-0.2-","GS-20-0.5-","GS-20-0.8-","GS-20-1-","GS-30-0-","GS-30-0.2-","GS-30-0.5-","GS-30-0.8-","GS-30-1-","GS-40-0-","GS-40-0.2-","GS-40-0.5-","GS-40-0.8-","GS-40-1-","GS-50-0-","GS-50-0.2-","GS-50-0.5-","GS-50-0.8-","GS-50-1-","GS-100-0-","GS-100-0.2-","GS-100-0.5-","GS-100-0.8-","GS-100-1-","GS-200-0-","GS-200-0.2-","GS-200-0.5-","GS-200-0.8-","GS-200-1-","GS-300-0-","GS-300-0.2-","GS-300-0.5-","GS-300-0.8-","GS-300-1-","GS-400-0-","GS-400-0.2-","GS-400-0.5-","GS-400-0.8-","GS-400-1-","GS-500-0-","GS-500-0.2-","GS-500-0.5-","GS-500-0.8-","GS-500-1-"
"JASMINE3",17,13,5,3,2,33,22,24,2,3,55,49,16,3,3,62,63,38,5,7,68,55,29,10,7,89,88,65,8,20,99,99,89,19,37,100,99,99,20,54,100,100,100,25,73,100,100,99,35,85
"AUCell3",5,6,0,2,1,6,4,7,2,5,20,9,8,2,4,22,12,10,2,5,18,17,11,6,6,37,22,18,4,12,77,67,34,7,24,97,85,48,9,37,100,96,59,3,56,100,98,81,8,73
"UCell3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS3",23,24,18,10,2,42,30,27,7,1,68,54,31,9,0,60,59,44,13,2,65,54,42,14,1,76,77,56,21,0,89,79,89,48,0,86,84,89,46,0,96,85,90,47,0,94,86,93,52,0
"SCSE3",1,2,0,1,0,3,1,2,0,1,10,6,6,0,0,14,13,1,3,2,11,9,6,2,1,26,21,4,2,1,53,43,17,2,4,81,62,28,6,4,93,79,38,4,10,97,84,49,1,12
"AddModuleScore3",1,3,2,1,2,3,4,2,2,1,6,8,6,2,0,11,21,12,5,2,5,19,12,4,1,11,59,37,5,1,30,99,78,12,0,50,100,96,15,0,73,100,99,21,0,83,100,100,22,3
"ssGSEA4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE4",17,10,8,3,3,49,33,22,6,6,75,61,23,2,3,75,65,29,3,7,89,80,41,7,7,100,98,78,8,13,100,100,93,24,40,100,100,100,28,55,100,100,100,39,64,100,100,100,47,77
"AUCell4",10,5,6,1,3,18,12,13,3,9,33,18,9,5,4,47,27,9,4,8,48,28,14,2,11,80,68,40,3,23,100,94,63,12,52,100,100,91,9,74,100,100,96,19,85,100,100,99,18,91
"UCell4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS4",37,31,25,14,4,69,64,56,21,4,86,81,52,24,2,83,86,71,29,4,90,91,78,36,1,98,97,97,54,3,98,99,99,83,1,100,100,100,90,1,100,98,100,96,0,100,99,100,97,1
"SCSE4",1,1,0,0,0,2,1,1,1,0,5,3,0,0,0,5,3,0,2,1,2,2,2,0,0,14,8,4,1,1,24,19,6,1,3,33,13,11,2,1,40,28,11,2,2,48,35,18,2,7
"AddModuleScore4",4,2,5,3,1,6,10,7,4,1,10,17,11,3,2,3,26,11,6,3,8,43,26,0,1,11,93,70,6,2,21,100,99,19,2,42,100,100,32,2,62,100,100,44,1,82,100,100,48,3
"ssGSEA5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE5",28,17,8,2,0,58,46,18,2,5,62,50,33,3,4,75,61,33,6,7,89,72,46,7,8,98,97,82,17,19,100,100,98,19,38,100,100,100,39,65,100,100,100,35,67,100,100,100,49,81
"AUCell5",8,6,0,2,0,14,8,4,1,2,17,14,7,2,4,21,23,6,2,6,28,19,8,3,10,59,43,24,3,15,97,85,48,7,27,100,98,72,11,56,100,100,79,9,60,100,100,96,12,68
"UCell5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS5",39,34,24,11,1,62,68,43,9,3,71,68,63,15,0,83,73,56,25,1,77,82,70,33,3,92,94,90,46,2,99,99,96,70,0,97,96,97,79,1,97,99,100,95,3,100,99,97,96,2
"SCSE5",5,5,1,2,0,7,3,2,1,2,9,7,3,0,0,11,11,2,1,1,16,9,4,3,3,32,29,7,0,2,72,55,20,3,6,93,76,40,5,10,98,84,50,4,14,100,98,59,5,11
"AddModuleScore5",3,7,2,1,0,5,4,4,3,1,6,16,12,1,1,9,29,6,4,0,6,36,22,5,2,18,93,75,12,2,50,100,98,18,0,78,100,100,35,2,94,100,100,42,3,100,100,100,39,1
"ssGSEA6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE6",28,15,9,3,4,51,26,12,1,3,70,47,22,4,3,80,68,33,4,5,93,73,30,3,6,97,95,55,7,7,99,100,91,8,18,100,100,95,15,31,100,100,98,23,41,100,100,100,30,43
"AUCell6",11,11,6,2,8,14,8,7,4,5,23,20,9,4,11,34,28,11,2,7,53,37,16,5,13,80,67,29,3,34,99,90,67,11,65,100,100,77,8,88,100,100,98,15,94,100,100,99,18,93
"UCell6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS6",63,50,35,13,7,89,78,64,32,6,93,88,68,33,1,92,96,80,47,6,96,97,87,59,1,100,99,99,77,10,99,100,100,97,12,100,100,100,98,18,100,100,100,100,14,100,100,100,100,26
"SCSE6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AddModuleScore6",4,5,4,3,4,5,8,4,1,1,6,15,11,3,2,12,38,12,4,4,11,49,37,4,2,28,95,78,2,1,58,100,100,21,1,90,100,100,33,3,99,100,100,52,1,100,100,100,67,2
"ssGSEA7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JASMINE7",15,14,3,2,3,22,18,9,3,4,41,48,21,2,5,50,47,26,7,7,60,55,23,7,8,83,86,61,8,9,93,96,89,13,50,98,100,98,14,46,100,100,98,21,70,100,100,100,32,81
"AUCell7",5,3,1,0,0,1,3,5,0,1,9,8,5,0,2,10,6,2,4,4,10,8,4,2,3,32,27,12,2,5,60,41,11,3,23,80,60,27,4,28,93,75,43,3,45,100,93,64,3,56
"UCell7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scPS7",32,24,16,6,3,48,30,17,7,2,58,47,34,12,3,49,53,38,16,3,57,56,41,18,2,83,77,64,28,1,78,69,81,36,1,75,76,82,39,2,85,77,79,55,0,81,79,83,61,0
